DATE,TIME,BOROUGH,ZIP CODE,latitude,longitude,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/14/2018,10:57,BRONX,10466,40.87987,-73.842026,"(40.87987, -73.842026)",BOSTON ROAD                     ,BRUNER AVENUE,,3,0,0,0,0,0,3,0,Lost Consciousness,Unspecified,Unspecified,,,3923168,Station Wagon/Sport Utility Vehicle,Taxi,Truck,,
06/06/2018,21:12,BRONX,10458,40.878826,-73.8829,"(40.878826, -73.8829)",EAST MOSHOLU PARKWAY NORTH      ,KOSSUTH AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,3922053,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/17/2018,15:30,BRONX,10467,40.878643,-73.871605,"(40.878643, -73.871605)",EAST GUN HILL ROAD              ,WEBSTER AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3903402,Sedan,Sedan,,,
05/12/2018,3:49,,,40.878017,-73.903915,"(40.878017, -73.903915)",MAJOR DEEGAN EXPRESSWAY         ,,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,,,,3902910,Sedan,,,,
06/19/2018,17:00,,,40.877842,-73.871796,"(40.877842, -73.871796)",WEBSTER AVENUE                  ,,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,Unspecified,,,3925794,Station Wagon/Sport Utility Vehicle,Bus,Sedan,,
05/26/2018,1:55,BRONX,10467,40.877525,-73.86443,"(40.877525, -73.86443)",HOLLAND AVENUE                  ,EAST 211 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3913651,Sedan,Sedan,Sedan,,
05/05/2018,23:30,,,40.877117,-73.87023,"(40.877117, -73.87023)",BRONX RIVER PARKWAY RAMP        ,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3895214,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/02/2018,21:30,,,40.876823,-73.854095,"(40.876823, -73.854095)",LACONIA AVENUE                  ,,,4,0,0,0,0,0,3,0,Unsafe Speed,Unspecified,,,,3893602,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/04/2018,4:44,,,40.876408,-73.81858,"(40.876408, -73.81858)",HUTCHINSON RIVER PARKWAY        ,,,4,0,0,0,0,0,4,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3914223,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/21/2018,12:00,BRONX,10467,40.876183,-73.87489,"(40.876183, -73.87489)",,,3278      HULL AVENUE,3,0,0,0,0,0,3,0,Unspecified,Unspecified,Unspecified,,,3929384,Sedan,Sedan,Sedan,,
05/27/2018,15:10,BRONX,10467,40.875633,-73.87027,"(40.875633, -73.87027)",DUNCOMB AVENUE                  ,BRONX BOULEVARD,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,3913394,Sedan,Sedan,,,
06/01/2018,8:00,,,40.874992,-73.81846,"(40.874992, -73.81846)",HUTCHINSON RIVER PARKWAY        ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3912633,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/24/2018,7:20,BRONX,10467,40.874756,-73.87387,"(40.874756, -73.87387)",PARKSIDE PLACE                  ,EAST 207 STREET,,2,0,0,0,0,0,2,0,Unsafe Speed,View Obstructed/Limited,,,,3907628,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/04/2018,10:50,,,40.8746,-73.9097,"(40.8746, -73.9097)",WEST 225 STREET,BROADWAY,,2,0,0,0,0,0,2,0,Lost Consciousness,Unspecified,Unspecified,Unspecified,Unspecified,3901762,Pick-up Truck,Taxi,Sedan,Sedan,Sedan
05/04/2018,15:45,BRONX,10469,40.8733,-73.853645,"(40.8733, -73.853645)",EAST GUN HILL ROAD              ,BOSTON ROAD,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Traffic Control Disregarded,,,,3896533,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/11/2018,8:30,BRONX,10469,40.873222,-73.83747,"(40.873222, -73.83747)",HAMMERSLEY AVENUE               ,ELY AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3898846,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/06/2018,15:30,BRONX,10463,40.87314,-73.90572,"(40.87314, -73.90572)",BAILEY AVENUE                   ,WEST KINGSBRIDGE ROAD,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,3916109,Sedan,Sedan,,,
06/16/2018,4:25,BRONX,10463,40.87314,-73.90572,"(40.87314, -73.90572)",BAILEY AVENUE                   ,WEST KINGSBRIDGE ROAD,,2,0,0,0,0,0,2,0,Driver Inexperience,Unspecified,,,,3923322,Station Wagon/Sport Utility Vehicle,Convertible,,,
06/04/2018,19:21,BRONX,10475,40.872723,-73.82599,"(40.872723, -73.82599)",,,140       BELLAMY LOOP,2,0,0,0,0,0,2,0,Unspecified,,,,,3914875,Sedan,,,,
06/19/2018,22:30,,,40.872696,-73.85172,"(40.872696, -73.85172)",EAST GUN HILL ROAD              ,PEARSALL AVENUE,,5,0,0,0,0,0,5,0,Driver Inattention/Distraction,Unspecified,,,,3925511,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/05/2018,19:35,,,40.872246,-73.87181,"(40.872246, -73.87181)",BRONX RIVER PARKWAY             ,,,2,0,0,0,0,0,2,0,Fell Asleep,,,,,3895203,SPORT UTILITY / STATION WAGON,,,,
06/20/2018,6:35,BRONX,10469,40.8721,-73.849884,"(40.8721, -73.849884)",BOUCK AVENUE                    ,EAST GUN HILL ROAD,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,,3925405,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,
05/29/2018,22:25,MANHATTAN,10034,40.87122,-73.91416,"(40.87122, -73.91416)",BROADWAY                        ,WEST 218 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3910475,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
05/21/2018,21:03,BRONX,10469,40.8705,-73.84634,"(40.8705, -73.84634)",,,1360      EAST GUN HILL ROAD,2,0,2,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3906796,Sedan,,,,
06/03/2018,13:40,BRONX,10467,40.86967,-73.86527,"(40.86967, -73.86527)",ADEE AVENUE                     ,HOLLAND AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unsafe Speed,,,,3913695,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/08/2018,15:45,BRONX,10469,40.86955,-73.85855,"(40.86955, -73.85855)",ADEE AVENUE                     ,PAULDING AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,3896944,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/06/2018,16:35,,,40.869545,-73.87972,"(40.869545, -73.87972)",WEBSTER AVENUE                  ,,,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Unspecified,Unspecified,,,3896775,PASSENGER VEHICLE,PASSENGER VEHICLE,BU,,
05/28/2018,11:30,BRONX,10469,40.86948,-73.85462,"(40.86948, -73.85462)",YATES AVENUE                    ,ADEE AVENUE,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,3910905,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/17/2018,17:30,BRONX,10469,40.86941,-73.84264,"(40.86941, -73.84264)",EASTCHESTER ROAD                ,ADEE AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3928070,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/27/2018,10:50,,,40.869083,-73.82092,"(40.869083, -73.82092)",HUTCHINSON RIVER PARKWAY        ,,,2,0,0,0,0,0,2,0,Pavement Slippery,Unspecified,,,,3909347,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/09/2018,13:55,,,40.86885,-73.907234,"(40.86885, -73.907234)",BAILEY AVENUE                   ,,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Other Vehicular,,,,3917362,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/13/2018,18:14,,,40.86885,-73.907234,"(40.86885, -73.907234)",BAILEY AVENUE                   ,HEATH AVENUE,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,3921077,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/03/2018,17:12,BRONX,10458,40.868317,-73.88189,"(40.868317, -73.88189)",WEBSTER AVENUE                  ,EAST 201 STREET,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Unspecified,Unspecified,,3892942,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,
05/31/2018,21:00,BRONX,10469,40.86826,-73.833374,"(40.86826, -73.833374)",,,1945      BARTOW AVENUE,5,0,0,0,0,0,5,0,Failure to Yield Right-of-Way,Unspecified,,,,3913586,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/10/2018,17:00,,,40.868217,-73.832664,"(40.868217, -73.832664)",NEW ENGLAND THRUWAY             ,,,6,0,0,0,0,0,6,0,Other Vehicular,Other Vehicular,,,,3918886,SPORT UTILITY / STATION WAGON,DS,,,
05/15/2018,17:50,BRONX,10468,40.867878,-73.893005,"(40.867878, -73.893005)",GRAND CONCOURSE                 ,EAST 196 STREET,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,3904324,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/24/2018,16:40,BRONX,10468,40.867878,-73.893005,"(40.867878, -73.893005)",GRAND CONCOURSE                 ,EAST 196 STREET,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,3929459,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/07/2018,0:53,BRONX,10469,40.86774,-73.85955,"(40.86774, -73.85955)",BOSTON ROAD                     ,ARNOW AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Other Vehicular,,,,3894946,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/28/2018,4:10,MANHATTAN,10034,40.86769,-73.92122,"(40.86769, -73.92122)",BROADWAY                        ,WEST 207 STREET,,2,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,3913212,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/13/2018,20:55,,,40.866814,-73.931595,"(40.866814, -73.931595)",HENRY HUDSON PARKWAY RAMP       ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unsafe Speed,,,,3921484,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/15/2018,14:20,,,40.86665,-73.831345,"(40.86665, -73.831345)",NEW ENGLAND THRUWAY             ,,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,Unspecified,,,3922217,Taxi,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,
06/21/2018,0:05,MANHATTAN,10034,40.866062,-73.92251,"(40.866062, -73.92251)",WEST 204 STREET,VERMILYEA AVENUE,,3,0,0,0,0,0,3,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,3925278,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle
05/04/2018,19:02,,,40.86558,-73.89888,"(40.86558, -73.89888)",JEROME AVENUE                   ,,,2,0,0,0,0,0,2,0,Unspecified,,,,,3896867,SPORT UTILITY / STATION WAGON,,,,
05/03/2018,17:43,BRONX,10469,40.86553,-73.86056,"(40.86553, -73.86056)",ALLERTON AVENUE                 ,RADCLIFF AVENUE,,2,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3894553,Sedan,Sedan,,,
05/17/2018,9:45,BRONX,10467,40.865406,-73.86805,"(40.865406, -73.86805)",,,680       ALLERTON AVENUE,2,0,0,0,0,0,2,0,Unspecified,,,,,3904593,Sedan,Sedan,,,
05/18/2018,18:00,BRONX,10468,40.865345,-73.90849,"(40.865345, -73.90849)",BAILEY AVENUE                   ,SEDGWICK AVENUE,,2,0,0,0,0,0,2,0,Backing Unsafely,Unspecified,,,,3904316,Station Wagon/Sport Utility Vehicle,,,,
05/14/2018,23:30,MANHATTAN,10034,40.863792,-73.91942,"(40.863792, -73.91942)",10 AVENUE,WEST 206 STREET,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,Unspecified,,,3901995,Taxi,Sedan,Sedan,,
06/20/2018,16:20,BRONX,10458,40.863674,-73.8888,"(40.863674, -73.8888)",,,2659      WEBSTER AVENUE,2,0,0,0,0,0,2,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,3925771,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/21/2018,16:00,BRONX,10469,40.862843,-73.83199,"(40.862843, -73.83199)",ELY AVENUE                      ,EAST GUN HILL ROAD,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3927954,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/22/2018,16:10,,,40.862686,-73.91187,"(40.862686, -73.91187)",MAJOR DEEGAN EXPRESSWAY         ,,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,,,,3929402,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/15/2018,21:00,,,40.86235,-73.894066,"(40.86235, -73.894066)",EAST FORDHAM ROAD               ,,,2,0,0,0,0,0,2,0,Unspecified,,,,,3902690,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/14/2018,12:50,,,40.86235,-73.89997,"(40.86235, -73.89997)",MORRIS AVENUE                   ,EAST FORDHAM ROAD,,3,0,0,0,0,0,3,0,Other Vehicular,Driver Inattention/Distraction,,,,3921190,Sedan,Sedan,,,
05/22/2018,20:43,,,40.862347,-73.911896,"(40.862347, -73.911896)",MAJOR DEEGAN EXPRESSWAY RAMP    ,,,4,0,0,0,0,0,4,0,Following Too Closely,Following Too Closely,Unspecified,Unspecified,,3906728,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,
